id,name,price,currency,type,size,collection,image,page,description,name_ar,description_ar,description_title,description_title_ar,tagline,tagline_ar
ayla,Ayla,375,QAR,Perfume,100 ml,Women,assets/products-square/ayla.webp,products/ayla/,"Ayla is a captivating expression of modern femininity — elegant, confident, and effortlessly luxurious. A sophisticated floral-spicy-woody composition that opens with a vibrant touch, unfolds into a graceful heart, and settles into a warm, sensual trail that lingers beautifully on the skin.",أيلا,أيلا هو تعبير آسر عن الأنوثة العصرية؛ أناقة، ثقة وفخامة تنبض بحضور لا يُنسى. تركيبة عطرية راقية تجمع بين النفحات الزهرية والتوابل والأخشاب، تبدأ بإشراقة مميزة، ثم تكشف عن قلب أنيق، قبل أن تستقر على قاعدة دافئة وحسية تترك أثراً جميلاً يدوم.,AYLA — A Signature of Feminine Luxury,أيلا — توقيع من الفخامة الأنثوية,Ayla — elegance that leaves a lasting impression.,أيلا — أناقة تترك أثراً لا يُنسى.
vanilla-elixir,Vanilla Elixir,375,QAR,Perfume,100 ml,Women,assets/products-square/vanilla-elixir.webp,products/vanilla-elixir/,"Discover Vanilla Elixir from the Sultana perfume collection, presented in a signature gold-capped bottle.",فانيلا إكسير,اكتشف فانيلا إكسير من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
oud-rose,Oud Rose,375,QAR,Perfume,100 ml,Men,assets/products-square/oud-rose.webp,products/oud-rose/,"Discover Oud Rose from the Sultana perfume collection, presented in a signature gold-capped bottle.",عود روز,اكتشف عود روز من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
portofino,Portofino,375,QAR,Perfume,100 ml,Men,assets/products-square/portofino.webp,products/portofino/,"Discover Portofino from the Sultana perfume collection, presented in a signature gold-capped bottle.",بورتوفينو,اكتشف بورتوفينو من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
patchouli,Patchouli,375,QAR,Perfume,100 ml,Men,assets/products-square/patchouli.webp,products/patchouli/,"Discover Patchouli from the Sultana perfume collection, presented in a signature gold-capped bottle.",باتشولي,اكتشف باتشولي من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
ajwan,Ajwan,375,QAR,Perfume,100 ml,Women,assets/products-square/ajwan.webp,products/ajwan/,"Discover Ajwan from the Sultana perfume collection, presented in a signature gold-capped bottle.",أجوان,اكتشف أجوان من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
lenden,London,375,QAR,Perfume,100 ml,Men,assets/products-square/lenden.webp,products/lenden/,"Discover London from the Sultana perfume collection, presented in a signature gold-capped bottle.",لندن,اكتشف لندن من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
casa-blanca,Casa Blanca,375,QAR,Perfume,100 ml,Men,assets/products-square/casa-blanca.webp,products/casa-blanca/,"Discover Casa Blanca from the Sultana perfume collection, presented in a signature gold-capped bottle.",كازا بلانكا,اكتشف كازا بلانكا من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
amicare,Amilcare,375,QAR,Perfume,100 ml,Women,assets/products-square/amicare.webp,products/amicare/,"Discover Amilcare from the Sultana perfume collection, presented in a signature gold-capped bottle.",أميلكاري,اكتشف أميلكاري من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
sigma,Sigma,375,QAR,Perfume,100 ml,Men,assets/products-square/sigma.webp,products/sigma/,"Discover Sigma from the Sultana perfume collection, presented in a signature gold-capped bottle.",سيغما,اكتشف سيغما من مجموعة عطور سلطانة، في زجاجة مميزة بغطاء ذهبي.,,,,
black-london,Black London,120,QAR,Luxury Home Spray,300 ml,Luxury Home Spray,assets/products-square/black-london.webp,products/black-london/,Give your everyday spaces a Sultana signature. Explore Black London from our home fragrance collection.,بلاك لندن,امنح مساحاتك اليومية توقيعاً من سلطانة. اكتشف بلاك لندن من مجموعة العطور المنزلية.,,,,
sweet-rose,Sweet Rose,120,QAR,Luxury Home Spray,300 ml,Luxury Home Spray,assets/products-square/sweet-rose.webp,products/sweet-rose/,Give your everyday spaces a Sultana signature. Explore Sweet Rose from our home fragrance collection.,سويت روز,امنح مساحاتك اليومية توقيعاً من سلطانة. اكتشف سويت روز من مجموعة العطور المنزلية.,,,,
velvet-night,Velvet Night,120,QAR,Luxury Home Spray,300 ml,Luxury Home Spray,assets/products-square/velvet-night.webp,products/velvet-night/,Give your everyday spaces a Sultana signature. Explore Velvet Night from our home fragrance collection.,فيلفت نايت,امنح مساحاتك اليومية توقيعاً من سلطانة. اكتشف فيلفت نايت من مجموعة العطور المنزلية.,,,,
machmoun,Machmoun,120,QAR,Luxury Home Spray,300 ml,Luxury Home Spray,assets/new-products/machmoun.webp,products/machmoun/,"A 300 ml home spray with bergamot, lavender, machmoun, jasmine, amber and oud notes.",المشموم,معطر منزلي بحجم ٣٠٠ مل بنفحات البرغموت واللافندر والمشموم والياسمين والعنبر والعود.,,,,
cotton-candy,Cotton Candy,120,QAR,Luxury Home Spray,300 ml,Luxury Home Spray,assets/new-products/cotton-candy.webp,products/cotton-candy/,"A 300 ml home spray with cotton, jasmine, caramel, vanilla, amber and sandalwood notes.",كوتن كاندي,معطر منزلي بحجم ٣٠٠ مل بنفحات القطن والياسمين والكراميل والفانيلا والعنبر وخشب الصندل.,,,,
discovery-set,Discovery Set — Perfume Testers,,QAR,Gift Set,13 testers,Gift Sets,assets/campaigns/discovery-set.webp,products/discovery-set/,Explore 13 scents in the Sultana Discovery Set. A collection of perfume testers presented in a black and gold gift box.,مجموعة الاكتشاف — عينات العطور,اكتشف ١٣ رائحة مع مجموعة الاكتشاف من سلطانة. عينات عطور في علبة هدايا باللونين الأسود والذهبي.,,,,
sultana-oud,Sultana Oud,,QAR,Signature Bakhoor,,Signature Collection,assets/new-products/sultana-oud-hd.webp,products/sultana-oud/,"Sultana Oud from our Signature Collection, presented in a black and gold jar.",سلطانة عود,سلطانة عود من مجموعتنا المميزة، في عبوة باللونين الأسود والذهبي.,,,,
royal-bukhoor,Royal Bukhoor,,QAR,Signature Bakhoor,,Signature Collection,assets/new-products/royal-bukhoor-hd.webp,products/royal-bukhoor/,"Royal Bukhoor from our Signature Collection, presented in a black and gold jar.",البخور الملكي,البخور الملكي من مجموعتنا المميزة، في عبوة باللونين الأسود والذهبي.,,,,
amber-night,Amber Night,,QAR,Signature Bakhoor,,Signature Collection,assets/new-products/amber-night-hd.webp,products/amber-night/,"Amber Night from our Signature Collection, presented in a black and gold jar.",ليلة العنبر,ليلة العنبر من مجموعتنا المميزة، في عبوة باللونين الأسود والذهبي.,,,,
oud-collection-set,Oud Collection Set,,QAR,Gift Set,,Gift Sets,assets/new-products/oud-collection-set.webp,products/oud-collection-set/,"Three signature scents in one gift box: Royal Bukhoor, Amber Night and Sultana Oud.",طقم مجموعة العود,ثلاث روائح مميزة في علبة هدايا واحدة: البخور الملكي وليلة العنبر وسلطانة عود.,,,,
oud-amber,Oud Amber,275,QAR,Oud,,"Oud, Bakhoor & Loban",assets/new-products/oud-amber.webp,products/oud-amber/,Oud Amber from the Sultana premium oud collection.,عود عنبر,عود عنبر من مجموعة سلطانة للعود الفاخر.,,,,
oud-oudy,Oud Oudy,105,QAR,Oud,,"Oud, Bakhoor & Loban",assets/new-products/oud-oudy.webp,products/oud-oudy/,Oud Oudy from the Sultana premium oud collection.,عود عودي,عود عودي من مجموعة سلطانة للعود الفاخر.,,,,
oud-private,Oud Private,105,QAR,Oud,,"Oud, Bakhoor & Loban",assets/new-products/oud-private.webp,products/oud-private/,Oud Private from the Sultana premium oud collection.,عود برايفت,عود برايفت من مجموعة سلطانة للعود الفاخر.,,,,
